time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-10T17:18:53.856Z,31.66750727,-104.3816511,7.622631836000001,2.5,ml,37,66,0.03983839769,0.3,tx,tx2023rtta,2023-09-13T15:31:17.040Z,"56 km S of Whites City, New Mexico",earthquake,0.8095218262,0.8075472606000001,0.1,19,reviewed,tx,tx
2023-09-09T23:49:39.341Z,31.73471451,-104.0999797,7.416967772999999,2.6,ml,18,33,0.03624879931,0.1,tx,tx2023rskl,2023-10-13T22:34:28.040Z,"47 km W of Mentone, Texas",earthquake,0.6052179156,0.6946856061999999,0.1,18,reviewed,tx,tx
2023-09-08T01:35:32.940Z,31.94000244,-102.0399438,7.996704102,3.2,ml,25,70,0.09115416927,0.1,tx,tx2023rowx,2023-09-30T00:36:38.040Z,"7 km SSE of Midland, Texas",earthquake,0.5948393292000002,1.336604543,0.1,7,reviewed,tx,tx
2023-09-06T04:30:49.960Z,31.73209265,-104.094982,6.632873535,2.8,ml,36,66,0.03134506905,0.2,tx,tx2023rlls,2023-10-05T05:16:23.040Z,"western Texas",earthquake,0.4161967978,0.4488458372,0.2,18,reviewed,tx,tx
2023-09-05T16:01:20.919Z,31.74703215,-104.1719732,6.671435547,2.6,ml,25,52,0.07092062512,0.1,tx,tx2023rkmz,2023-10-15T14:44:55.040Z,"51 km SSE of Whites City, New Mexico",earthquake,0.5370226012,1.037233638,0.2,15,reviewed,tx,tx
2023-09-04T23:20:05.039Z,31.66799545,-104.4467889,5.874487305,2.5,ml,31,63,0.0172609427,0.2,tx,tx2023rjfy,2023-10-03T05:09:55.040Z,"",earthquake,0.9365696035,0.5021549433,0.1,19,reviewed,tx,tx
2023-09-04T19:59:59.891Z,31.65367085,-104.4579551,6.799975586,2.6,ml,67,85,0.02224999176,0.3,tx,tx2023rizj,2023-10-05T13:28:52.040Z,"58 km S of Whites City, New Mexico",earthquake,0.9279802486,0.7049778981,0.1,41,reviewed,tx,tx
2023-09-04T15:59:03.813Z,31.67983578,-104.5260411,6.388647461,2.7,ml,47,147,0.02430575243,0.2,tx,tx2023rirj,2023-09-06T14:38:35.040Z,"56 km SSW of Whites City, New Mexico",earthquake,0.9136060809999998,0.49961711149999993,0.1,31,reviewed,tx,tx
2023-09-04T01:20:21.504Z,31.36084501,-103.0805919,3.046606445,2.9,ml,24,73,0.02467246733,0.2,tx,tx2023rhok,2023-10-13T00:07:29.040Z,"13 km N of Coyanosa, Texas",earthquake,0.8804698035,1.168409417,0.2,18,reviewed,tx,tx
2023-09-04T01:19:29.896Z,31.35762592,-103.0800718,3.81784668,2.8,ml,24,72,0.02197546414,0.2,tx,tx2023rhoj,2023-10-13T00:01:28.040Z,"12 km N of Coyanosa, Texas",earthquake,0.9231601397,1.5575960209999997,0.2,18,reviewed,tx,tx
2023-09-03T07:48:46.117Z,31.60373983,-103.9352931,6.915661621,2.7,ml,25,46,0.03834148251,0.2,tx,tx2023rgfs,2023-09-23T06:12:16.040Z,"33 km WSW of Mentone, Texas",earthquake,0.4367698105,0.484274386,0.2,13,reviewed,tx,tx
2023-09-02T20:21:54.718Z,32.0038481,-103.8302184,6.607165527,2.7,ml,25,48,0.02488819032,0.2,tx,tx2023rfjb,2023-09-05T16:11:29.734Z,"33 km SE of Malaga, New Mexico",earthquake,0.4273484742,0.532945083,0.1,13,reviewed,tx,tx
